registros;natureza;municipio;cod_municipio;mes;ano;risp;rmbh
0;ESTUPRO CONSUMADO;CACHOEIRA DA PRATA;310960;1;2026;RISP 19 - SETE LAGOAS;NÃO
0;ESTUPRO CONSUMADO;CACHOEIRA DE MINAS;310970;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CACHOEIRA DE PAJEU;310270;1;2026;RISP 15 - TEÓFILO OTONI;NÃO
0;ESTUPRO CONSUMADO;CACHOEIRA DOURADA;310980;1;2026;RISP 9 - UBERLÂNDIA;NÃO
0;ESTUPRO CONSUMADO;CAETANOPOLIS;310990;1;2026;RISP 19 - SETE LAGOAS;NÃO
0;ESTUPRO CONSUMADO;CAETE;311000;1;2026;RISP 3 - VESPASIANO;SIM
0;ESTUPRO CONSUMADO;CAIANA;311010;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;CAJURI;311020;1;2026;RISP 4 - JUIZ DE FORA;NÃO
0;ESTUPRO CONSUMADO;CALDAS;311030;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;CAMACHO;311040;1;2026;RISP 7 - DIVINÓPOLIS;NÃO
0;ESTUPRO CONSUMADO;CAMANDUCAIA;311050;1;2026;RISP 17 - POUSO ALEGRE;NÃO
1;ESTUPRO CONSUMADO;CAMBUI;311060;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CAMBUQUIRA;311070;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CAMPANARIO;311080;1;2026;RISP 15 - TEÓFILO OTONI;NÃO
0;ESTUPRO CONSUMADO;CAMPANHA;311090;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CAMPESTRE;311100;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;CAMPINA VERDE;311110;1;2026;RISP 5 - UBERABA;NÃO
0;ESTUPRO CONSUMADO;CAMPO AZUL;311115;1;2026;RISP 11 - MONTES CLAROS;NÃO
0;ESTUPRO CONSUMADO;CAMPO BELO;311120;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CAMPO DO MEIO;311130;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
1;ESTUPRO CONSUMADO;CAMPO FLORIDO;311140;1;2026;RISP 5 - UBERABA;NÃO
0;ESTUPRO CONSUMADO;CAMPOS ALTOS;311150;1;2026;RISP 5 - UBERABA;NÃO
0;ESTUPRO CONSUMADO;CAMPOS GERAIS;311160;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;CANA VERDE;311190;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CANAA;311170;1;2026;RISP 4 - JUIZ DE FORA;NÃO
0;ESTUPRO CONSUMADO;CANAPOLIS;311180;1;2026;RISP 9 - UBERLÂNDIA;NÃO
